Response ID,Include/Exclude,Date submitted,Last page,Start language,Date started,Date last action,What is your primary specialty-,What is your primary specialty- [Other],What is your rank-,What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.),What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.) [Other],How would you describe your current billet-,How would you describe your current billet- [Other],"For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS-","For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS- [Other]","On a scale of 1 to 5, with 1 being not transparent and 5 being very transparent, how would you rate the transparency of your detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 being unsatisfied and 5 being very satisfied, how would you rate your overall detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 representing a significant problem and 5 being not a problem at all, how would you rank the problem of favoritism in the billet assignment process-",Describe your current assignment:,"Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 1]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 2]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 3]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 4]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 5]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 6]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 7]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 8]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 9]",Which career path do you want to pursue in the next 5-10  years-,Which career path do you want to pursue in the next 5-10  years- [Other],"Neither the Army nor the Air Force have physicians in the detailer role.  Instead, they have nurses or medical administrators work with specialty leaders to determine assigments.  This is different from the current Navy Medical Corps billet assignment process where the detailer is a physician*.  Would you approve if the detailer position was filled by a non-physician-",How long should an individual be allowed to remain at one command-,"Do you think that there is a problem in the Medical Corps with members not moving-  That is, are there too many physicians who get to stay in one place too long-","Civilian medical residency positions are assigned using the National Residency Match Program where members submit a preference list, residency directors submit a preference list, and a computer algorithm optimizes a match.  This is different from the current Navy Medical Corps billet assignment process where the detailer and specialty leader take input from medical officers and then make a decision.  Of these two options, which would you prefer for your military billet assignment-","The later the match day, the more information one has before creating their rank list.  The earlier the match day, the sooner one can have certainty and prepare.  Assuming your were scheduled to execute new orders in July of 2017, what month would you want the match to occur in-",Do you think members who are coming from operational or OCONUS assignments should be given preference in billet assignment-,Do you think members with more seniority (as defined by time in service or rank) should be given preference in billet assignment-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,I,8/20/16 13:19,4,en,8/20/16 13:09,8/20/16 13:19,Anesthesiology,,LCDR,2016,,GME,,< 1 month,,4,4,2,2nd choice,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Pacific Northwest,Middle East or Africa,National Capital Region,Northeast,Executive Medicine,,Do not care,Other,No,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,I,8/21/16 14:09,4,en,8/21/16 14:02,8/21/16 14:09,Aviation Medicine (Flight Surgery GMO),,LCDR,2015,,CONUS Operational,,< 1 month,,1,1,,Other,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,Pacific Northwest,Northeast,Middle East or Africa,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Operational Medicine,,Other,Other,Other,Other,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,I,8/20/16 13:59,4,en,8/20/16 13:55,8/20/16 13:59,Preventive Medicine,,LCDR,2015,,Non-Operational/Non-Clinical,,< 1 month,,3,1,1,> 4th choice,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,,,,,,,Operational Medicine,,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,I,8/20/16 14:02,4,en,8/20/16 13:57,8/20/16 14:02,Preventive Medicine,,LCDR,2015,,CONUS Operational,,> 4 months,,5,5,3,1st choice,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Southern California,Europe,Pacific Northwest,Northeast,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Mixed,,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,I,8/20/16 14:26,4,en,8/20/16 14:19,8/20/16 14:26,Emergency Medicine,,CDR,2012,,CONUS MTF,,> 4 months,,5,5,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",Europe,National Capital Region,Southern California,Northeast,Pacific Northwest,Middle East or Africa,Clinical Medicine,,No,4 tours (~12 years),Other,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,I,9/1/16 19:59,4,en,9/1/16 19:52,9/1/16 19:59,,,,,,,,,,2,2,3,,"Southeast (North Carolina, Florida)",Southern California,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,Northeast,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Operational Medicine,,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Feb-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,I,8/20/16 14:48,4,en,8/20/16 14:44,8/20/16 14:48,Family Medicine,,LT,2016,,CONUS Operational,,< 1 month,,1,2,2,> 4th choice,"Southeast (North Carolina, Florida)",National Capital Region,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",,,,,,Undecided,,Yes,3 tours (~9 years),Yes,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,I,8/22/16 16:27,4,en,8/22/16 16:17,8/22/16 16:27,Aviation Medicine (Flight Surgery GMO),,LT,2016,,CONUS Operational,,< 1 month,,1,2,4,1st choice,Southern California,Pacific Northwest,Europe,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Middle East or Africa,Undecided,,Yes,3 tours (~9 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,I,8/22/16 21:17,4,en,8/22/16 21:12,8/22/16 21:17,Aviation Medicine (Flight Surgery GMO),,LT,2016,,CONUS Operational,,< 1 month,,1,1,1,> 4th choice,,,,,,,,,,Clinical Medicine,,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,I,8/20/16 15:27,4,en,8/20/16 15:22,8/20/16 15:27,Aerospace Medicine (Residency Trained Flight),,CDR,2015,,GME,,> 4 months,,5,5,1,1st choice,"Southeast (North Carolina, Florida)",Europe,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Southern California,National Capital Region,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Resign/Retire,,Yes,4 tours (~12 years),No,Something similar to the National Residency Match Program,Jul-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,I,8/23/16 11:39,4,en,8/23/16 11:13,8/23/16 11:39,Aviation Medicine (Flight Surgery GMO),,LT,2016,,CONUS MTF,,2-4 months,,1,1,1,Other,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Europe,Southern California,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Middle East or Africa,Clinical Medicine,,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,I,8/20/16 15:47,4,en,8/20/16 15:41,8/20/16 15:47,Emergency Medicine,,CDR,2015,,CONUS Operational,,2-4 months,,1,1,1,4th choice,Europe,National Capital Region,Northeast,Middle East or Africa,Southern California,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Executive Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Mar-17,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,I,8/20/16 16:55,4,en,8/20/16 16:17,8/20/16 16:55,OB/GYN,,LCDR,2014,,CONUS MTF,,> 4 months,,4,3,3,4th choice,"Southeast (North Carolina, Florida)",Southern California,Pacific Northwest,National Capital Region,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Mixed,,Other,2 tours (~6 years),Yes,Other,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,I,8/20/16 16:58,4,en,8/20/16 16:47,8/20/16 16:58,Pathology,,CDR,2016,,CONUS MTF,,> 4 months,,5,5,2,1st choice,Southern California,Pacific Northwest,Europe,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Northeast,National Capital Region,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Mixed,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,I,8/23/16 12:59,4,en,8/23/16 12:53,8/23/16 12:59,Aviation Medicine (Flight Surgery GMO),,LT,2015,,CONUS Operational,,2-4 months,,3,2,2,4th choice,Southern California,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Europe,Middle East or Africa,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Northeast,Clinical Medicine,,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,I,,1,en,9/3/16 11:35,9/3/16 11:36,Emergency Medicine,,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,I,8/20/16 17:38,4,en,8/20/16 17:28,8/20/16 17:38,Family Medicine,,LCDR,2015,,OCONUS MTF,,< 1 month,,2,1,3,Other,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Southeast (North Carolina, Florida)",Southern California,Europe,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Middle East or Africa,Mixed,,Yes,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,I,,2,en,9/5/16 11:00,9/5/16 11:01,Other,,LT,,,,,,,,,,,,,,,,,,,,Undecided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,I,8/20/16 18:27,4,en,8/20/16 18:21,8/20/16 18:27,Neurology,,LCDR,2015,,CONUS MTF,,2-4 months,,5,5,5,1st choice,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Northeast,Pacific Northwest,Middle East or Africa,Academic Medicine,,No,2 tours (~6 years),No,,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,I,8/20/16 18:33,4,en,8/20/16 18:24,8/20/16 18:33,Family Medicine,,LCDR,2016,,CONUS MTF,,< 1 month,,3,2,3,1st choice,National Capital Region,,,,,,,,,Operational Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,I,8/23/16 13:17,4,en,8/23/16 13:09,8/23/16 13:17,Aviation Medicine (Flight Surgery GMO),,LT,2016,,CONUS Operational,,2-4 months,,2,4,4,1st choice,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Southern California,Europe,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Northeast,Middle East or Africa,Operational Medicine,,Do not care,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,I,8/20/16 19:28,4,en,8/20/16 19:08,8/20/16 19:28,Internal Medicine (General),,LT,2016,,CONUS MTF,,2-4 months,,2,2,3,3rd choice,Southern California,Pacific Northwest,Europe,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,"Southeast (North Carolina, Florida)",Mixed,,No,2 tours (~6 years),Yes,Other,Feb-17,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,I,8/20/16 19:25,4,en,8/20/16 19:13,8/20/16 19:25,Family Medicine,,LCDR,2016,,CONUS MTF,,2-4 months,,2,2,2,2nd choice,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,National Capital Region,Pacific Northwest,Northeast,Middle East or Africa,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Resign/Retire,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,I,8/20/16 19:36,4,en,8/20/16 19:28,8/20/16 19:36,Psychiatry,,LCDR,2016,,CONUS MTF,,< 1 month,,2,5,5,Other,Southern California,National Capital Region,"Pacific (Hawaii, Guam, Japan)",Europe,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Southeast (North Carolina, Florida)",Middle East or Africa,Pacific Northwest,Mixed,,Yes,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,I,8/20/16 19:45,4,en,8/20/16 19:39,8/20/16 19:45,Pathology,,LCDR,2015,,CONUS MTF,,2-4 months,,4,5,4,1st choice,"Pacific (Hawaii, Guam, Japan)",Europe,Southern California,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Southeast (North Carolina, Florida)",National Capital Region,Middle East or Africa,Mixed,,Do not care,4 tours (~12 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,I,8/29/16 12:59,4,en,8/29/16 12:52,8/29/16 12:59,Aviation Medicine (Flight Surgery GMO),,LT,2015,,CONUS Operational,,< 1 month,,2,2,3,> 4th choice,National Capital Region,Southern California,Northeast,Pacific Northwest,Europe,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Academic Medicine,,Do not care,4 tours (~12 years),No,Something similar to the National Residency Match Program,Nov-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,I,8/20/16 20:18,4,en,8/20/16 20:12,8/20/16 20:18,OB/GYN,,CAPT or Flag,2016,,OCONUS MTF,,2-4 months,,5,5,1,1st choice,"Pacific (Hawaii, Guam, Japan)",Europe,Southern California,Pacific Northwest,National Capital Region,,,,,Clinical Medicine,,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Nov-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,I,8/20/16 21:05,4,en,8/20/16 20:47,8/20/16 21:05,Emergency Medicine,,LCDR,2013,,CONUS MTF,,< 1 month,,4,4,4,1st choice,"Pacific (Hawaii, Guam, Japan)",Europe,"Southeast (North Carolina, Florida)",Southern California,National Capital Region,Northeast,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Mixed,,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,I,8/20/16 20:56,4,en,8/20/16 20:53,8/20/16 20:56,Aerospace Medicine (Residency Trained Flight),,LT,2015,,GME,,> 4 months,,3,2,1,1st choice,Southern California,Pacific Northwest,Europe,Middle East or Africa,"Pacific (Hawaii, Guam, Japan)",Northeast,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Operational Medicine,,No,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Nov-16,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,I,8/20/16 21:20,4,en,8/20/16 21:09,8/20/16 21:20,Family Medicine,,LCDR,2016,,CONUS MTF,,< 1 month,,5,5,1,Other,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Europe,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Southern California,"Southeast (North Carolina, Florida)",National Capital Region,Middle East or Africa,Mixed,,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,I,8/20/16 21:50,4,en,8/20/16 21:39,8/20/16 21:50,Neurology,,CDR,2013,,CONUS MTF,,2-4 months,,3,3,,1st choice,Pacific Northwest,,,,,,,,,Executive Medicine,,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Feb-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,I,8/20/16 22:11,4,en,8/20/16 22:07,8/20/16 22:11,Otolaryngology,,LCDR,2014,,CONUS MTF,,2-4 months,,4,4,2,2nd choice,"Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",,,,,,,,Resign/Retire,,Do not care,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jun-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,I,8/20/16 22:48,4,en,8/20/16 22:44,8/20/16 22:48,Preventive Medicine,,CDR,2016,,OCONUS Operational,,Other,Between 1-2 months,5,5,5,1st choice,"Pacific (Hawaii, Guam, Japan)",Southern California,Europe,,,,,,,Operational Medicine,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,I,,2,en,8/20/16 22:55,8/20/16 23:04,Aerospace Medicine (Residency Trained Flight),,LCDR,2016,,GME,,< 1 month,,5,2,1,1st choice,,,,,,,,,,Operational Medicine,,No,1 tour (~3 years),Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,I,8/21/16 0:08,4,en,8/20/16 23:53,8/21/16 0:08,Internal Medicine (General),,CAPT or Flag,2014,,Non-Operational/Non-Clinical,HQ,2-4 months,,5,5,5,1st choice,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Europe,Pacific Northwest,"Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",Southern California,Middle East or Africa,National Capital Region,Executive Medicine,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,I,9/5/16 15:27,4,en,9/5/16 15:21,9/5/16 15:27,General Surgery,,LT,,,GME,,Other,NADDS residency,,,,Other,Northeast,National Capital Region,Southern California,Europe,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Clinical Medicine,,Other,Other,Other,Other,Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,I,8/21/16 1:11,4,en,8/21/16 0:49,8/21/16 1:11,Family Medicine,,LCDR,2016,,CONUS MTF,,2-4 months,,4,4,3,1st choice,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Northeast,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Europe,Middle East or Africa,Mixed,,No,Other,Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,I,8/21/16 2:32,4,en,8/21/16 2:24,8/21/16 2:32,Emergency Medicine,,LCDR,2015,,CONUS MTF,,2-4 months,,3,4,,1st choice,"Pacific (Hawaii, Guam, Japan)",Southern California,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Europe,Pacific Northwest,National Capital Region,Northeast,Middle East or Africa,Clinical Medicine,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,I,8/29/16 13:20,4,en,8/29/16 13:10,8/29/16 13:20,Aviation Medicine (Flight Surgery GMO),,LCDR,2016,,CONUS Operational,,< 1 month,,1,1,1,Other,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Southern California,,,,,,,Executive Medicine,,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,I,8/21/16 4:07,4,en,8/21/16 3:58,8/21/16 4:07,Pediatrics,,CDR,2014,,OCONUS MTF,,2-4 months,,3,3,2,> 4th choice,Europe,Southern California,National Capital Region,Pacific Northwest,"Southeast (North Carolina, Florida)",Northeast,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Clinical Medicine,,No,Other,Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,I,8/21/16 4:07,4,en,8/21/16 4:00,8/21/16 4:07,General Surgery,,LCDR,2014,,OCONUS Operational,,2-4 months,,2,1,5,Other,"Pacific (Hawaii, Guam, Japan)",Southern California,"Southeast (North Carolina, Florida)",Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Europe,National Capital Region,Northeast,Middle East or Africa,Clinical Medicine,,Do not care,2 tours (~6 years),Yes,Other,Sep-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,I,,1,en,9/13/16 16:01,9/13/16 16:01,Family Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,I,8/30/16 13:32,4,en,8/30/16 13:05,8/30/16 13:32,Aviation Medicine (Flight Surgery GMO),,LT,2016,,CONUS Operational,,< 1 month,,3,5,4,1st choice,"Southeast (North Carolina, Florida)",Southern California,Europe,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",Northeast,National Capital Region,Middle East or Africa,Operational Medicine,,Do not care,Other,No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,I,8/21/16 9:11,4,en,8/21/16 9:02,8/21/16 9:11,Occupational Medicine,,CDR,2014,,CONUS MTF,,2-4 months,,2,2,1,> 4th choice,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",National Capital Region,Southern California,Europe,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Middle East or Africa,Executive Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,I,8/30/16 16:05,4,en,8/30/16 15:58,8/30/16 16:05,Aviation Medicine (Flight Surgery GMO),,LT,2015,,CONUS Operational,,< 1 month,,1,2,,Other,Europe,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Clinical Medicine,,No,3 tours (~9 years),No,Something similar to the National Residency Match Program,Dec-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,I,8/21/16 13:24,4,en,8/21/16 13:09,8/21/16 13:24,Neonatology,,LCDR,2016,,CONUS MTF,,< 1 month,,1,1,1,Other,National Capital Region,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,"Southeast (North Carolina, Florida)",Mixed,,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,I,,3,en,8/21/16 13:39,8/21/16 13:44,Pediatrics,,CAPT or Flag,Other,2008,GME,,> 4 months,,5,5,5,1st choice,National Capital Region,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Europe,"Southeast (North Carolina, Florida)",Southern California,Middle East or Africa,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Executive Medicine,,,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,I,8/21/16 14:00,4,en,8/21/16 13:55,8/21/16 14:00,Cardiology (IM),,CDR,2016,,CONUS Operational,,< 1 month,,1,3,2,> 4th choice,Southern California,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Europe,National Capital Region,,,,,Executive Medicine,,Yes,2 tours (~6 years),Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,I,,1,en,8/31/16 13:48,8/31/16 13:49,Aviation Medicine (Flight Surgery GMO),,LT,2016,,CONUS Operational,,< 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,I,8/21/16 16:02,4,en,8/21/16 15:59,8/21/16 16:02,Plastic Surgery,,CDR,2016,,CONUS MTF,,2-4 months,,5,5,2,1st choice,Southern California,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,,,,,,,Academic Medicine,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
